ParticipantID,Phone,Awair,AwairID,Work,Role
edr,iPhone,AW-13145,70886b1232f6,Link Lab,Graduate Student
egl,iPhone,AW-13145,70886b1232f6,Link Lab,Graduate Student
j02,iPhone,AW-25396,70886b125db1,Off Grounds BR,Graduate Student
uja,iPhone,AW-16515,70886b123935,Link Lab,Graduate Student
lpz,Android,AW-29799,70886b127d5c,Off Grounds BR,Graduate Student
oyb,Android,AW-23619,70886b126976,Link Lab,Graduate Student
mr1,iPhone,AW-23810,70886b126a7b,Link Lab,Graduate Student
xil,Android,AW-22996,70886b12532b,Link Lab,Graduate Student
pgm,iPhone,AW-15886,70886b123bc8,Link Lab,Faculty
h9u,iPhone,AW-27185,70886b12697a,Off Grounds,Graduate Student
vxx,iPhone,AW-26885,70886b1277ca,Link Lab,Faculty
heh,Android,AW-27261,70886b126a0d,Off Grounds,Graduate Student
ssg,iPhone,AW-13130,70886b12349c,Link Lab,Graduate Student
