timestamp,device_uuid,score,temp,humid,co2,voc,noise,ParticipantID
2022-05-31T17:50:00.000Z,awair-omni_27185,83.75,24.23,48.92,1318.75,617.5,61.7,h9u
2022-05-31T17:55:00.000Z,awair-omni_27185,81.9,24.85,52.38,1300.03,407.3,63.05,h9u
2022-05-31T18:00:00.000Z,awair-omni_27185,84,23.7,51.75,1313.26,295.35,55.6,h9u
2022-05-31T18:05:00.000Z,awair-omni_27185,85,23.11,51.37,1294.97,253.63,57.1,h9u
2022-05-31T18:10:00.000Z,awair-omni_27185,84,22.36,53.8,1273.33,246.57,54.27,h9u
2022-05-31T18:15:00.000Z,awair-omni_27185,84.07,22.5,53.8,1265.57,232.9,54.85,h9u
2022-05-31T18:20:00.000Z,awair-omni_27185,84.43,22.68,53.74,1261.73,213.57,56.51,h9u
2022-05-31T18:25:00.000Z,awair-omni_27185,85.72,22.51,52.9,1228.93,177.21,57.07,h9u
2022-05-31T18:30:00.000Z,awair-omni_27185,85,22.02,54.77,1206.63,175.27,54.18,h9u
2022-05-31T18:35:00.000Z,awair-omni_27185,85.2,22.23,54.36,1205.27,163.19,54.12,h9u
2022-05-31T18:40:00.000Z,awair-omni_27185,86.17,22.67,53.51,1193.9,153.47,57.23,h9u
2022-05-31T18:45:00.000Z,awair-omni_27185,87,22.65,52.4,1162.43,133.8,56.88,h9u
2022-05-31T18:50:00.000Z,awair-omni_27185,86,22.13,54.5,1144.97,132.77,54.11,h9u
2022-05-31T18:55:00.000Z,awair-omni_27185,86.2,22.35,54.16,1147.63,127.57,53.4,h9u
2022-05-31T19:00:00.000Z,awair-omni_27185,87.1,22.58,53.39,1129.59,115.33,56.34,h9u
2022-05-31T19:05:00.000Z,awair-omni_27185,87.6,22.13,53.71,1099.13,99.93,55.86,h9u
2022-05-31T19:10:00.000Z,awair-omni_27185,87,22.02,54.74,1090.27,98.77,54.12,h9u
2022-05-31T19:15:00.000Z,awair-omni_27185,87.14,22.29,54.32,1078.52,93.97,54.59,h9u
2022-05-31T19:20:00.000Z,awair-omni_27185,87.97,22.42,53.18,1070.03,81.03,56.73,h9u
