timestamp,device_uuid,score,temp,humid,co2,voc,noise,ParticipantID
2022-05-17T01:30:00.000Z,awair-omni_29799,87.29,24.5,52.45,774.43,545.29,51.66,lpz
2022-05-17T01:35:00.000Z,awair-omni_29799,79.25,26.04,53.91,839.75,773.75,54.88,lpz
2022-05-17T17:25:00.000Z,awair-omni_29799,78.5,24.67,55.9,936.5,1798.5,56.7,lpz
2022-05-18T01:00:00.000Z,awair-omni_29799,83.44,23.9,53.5,1176.84,439.81,56.33,lpz
2022-05-18T01:05:00.000Z,awair-omni_29799,88.7,23.49,50.43,945.53,329.3,54.31,lpz
2022-05-18T01:10:00.000Z,awair-omni_29799,89.27,22.32,53.13,801.53,285.63,53.07,lpz
2022-05-18T01:15:00.000Z,awair-omni_29799,91.3,21.94,52.78,702.17,228.73,52.82,lpz
2022-05-18T01:20:00.000Z,awair-omni_29799,91.43,21.42,54.03,645.1,210.77,53.26,lpz
2022-05-18T01:25:00.000Z,awair-omni_29799,92.03,21.06,54.79,606.2,177.23,52.76,lpz
2022-05-18T01:30:00.000Z,awair-omni_29799,93.3,20.92,53.93,571.77,159.47,52.74,lpz
2022-05-18T01:35:00.000Z,awair-omni_29799,94,20.89,54.43,545.37,133.69,53.37,lpz
2022-05-18T01:40:00.000Z,awair-omni_29799,95,21.05,53.25,542.23,111.73,53.38,lpz
2022-05-18T01:45:00.000Z,awair-omni_29799,94.9,20.95,53.89,533.57,117.43,52.99,lpz
2022-05-18T01:50:00.000Z,awair-omni_29799,94.62,20.83,54.75,523.38,113.55,53.01,lpz
2022-05-18T01:55:00.000Z,awair-omni_29799,95.1,20.7,54.51,517.42,90.57,52.97,lpz
2022-05-18T02:00:00.000Z,awair-omni_29799,95.03,20.56,54.87,514.57,76.13,53.07,lpz
2022-05-18T02:05:00.000Z,awair-omni_29799,95.17,20.56,54.67,511.53,71.67,52.88,lpz
2022-05-18T02:10:00.000Z,awair-omni_29799,95,20.66,55.04,512.92,54.97,52.93,lpz
2022-05-18T02:15:00.000Z,awair-omni_29799,95.17,20.7,54.61,514.16,44.87,53.47,lpz
2022-05-18T02:20:00.000Z,awair-omni_29799,94.6,20.68,55.34,518.9,33.43,53.01,lpz
2022-05-18T02:25:00.000Z,awair-omni_29799,94.53,20.79,54.96,532.29,32.43,52.01,lpz
2022-05-18T02:30:00.000Z,awair-omni_29799,95.17,20.76,54.18,521.97,29.4,51.8,lpz
2022-05-18T02:35:00.000Z,awair-omni_29799,94.57,20.68,55.34,519.53,40.13,51.79,lpz
2022-05-18T02:40:00.000Z,awair-omni_29799,94.63,20.65,55.3,516.23,42.73,51.92,lpz
2022-05-18T02:45:00.000Z,awair-omni_29799,94.83,20.62,55.12,511.69,43.86,51.79,lpz
2022-05-18T02:50:00.000Z,awair-omni_29799,94.73,20.6,55.61,510.97,42.8,51.81,lpz
2022-05-18T02:55:00.000Z,awair-omni_29799,94.13,20.56,56.44,517.7,63.17,51.84,lpz
2022-05-18T03:00:00.000Z,awair-omni_29799,93.83,20.57,56.13,537.57,48.1,52.48,lpz
2022-05-18T03:05:00.000Z,awair-omni_29799,93.07,20.56,55.53,578.03,26.07,52.1,lpz
2022-05-18T03:10:00.000Z,awair-omni_29799,92.47,20.55,56.4,587.16,29.23,51.79,lpz
2022-05-18T03:15:00.000Z,awair-omni_29799,91.6,20.58,57.06,612.2,41.87,51.78,lpz
2022-05-18T03:20:00.000Z,awair-omni_29799,91,20.62,57.34,650.97,43.47,51.9,lpz
2022-05-18T03:25:00.000Z,awair-omni_29799,89.3,20.67,58.46,736.47,39,52.48,lpz
2022-05-18T03:30:00.000Z,awair-omni_29799,87.2,20.61,59.87,849.77,48.8,51.97,lpz
2022-05-18T03:35:00.000Z,awair-omni_29799,86.31,20.71,60.08,906.62,47.86,52.03,lpz
2022-05-18T03:40:00.000Z,awair-omni_29799,84.33,20.65,61.23,984.93,50.13,52.02,lpz
